theta dim c
4.22103 1.1749527 2.74273
4.40846 1.1738060 2.70501
4.61328 1.1731881 2.66558
4.83806 1.1742909 2.62428
5.08585 1.1718823 2.58092
5.36037 1.1720465 2.53529
5.66619 1.1729221 2.48714
6.00898 1.1896205 2.43616
6.39588 1.1898943 2.38202
6.83596 1.1739341 2.32428
7.34099 1.1716391 2.26245
7.92647 1.1761996 2.19590
8.25562 1.1699044 2.76268
8.61324 1.1754990 2.12385
9.00317 1.1713421 2.68753
9.43001 1.1816708 2.04532
9.89922 1.1694427 2.60531
10.41744 1.1728683 1.95904
10.99273 1.1732664 2.51455
11.63505 1.1895780 1.86332
12.35678 1.1750340 2.41330
12.61759 1.1709327 2.74741
13.17355 1.1932635 1.75587
13.78051 1.1708280 2.67117
14.10535 1.1725019 2.29885
14.44580 1.1701109 2.63043
15.17818 1.1694128 1.63347
15.98828 1.1716515 2.54283
16.42642 1.1658570 2.16732
16.88907 1.1751110 2.49554
17.13024 1.1709667 2.73320
17.89655 1.1798400 1.49136
18.73400 1.1688193 2.65610
19.03068 1.1696333 2.39270
19.65286 1.1752733 2.01284
20.31666 1.1767689 2.33646
20.66548 1.1727325 2.57171
20.88051 1.1701796 2.75664
21.78679 1.2073297 1.32222
22.77422 1.1715627 2.68215
23.03503 1.1721679 2.47857
23.48306 1.1723082 2.21219
23.85405 1.1696019 2.64246
24.43270 1.1781755 1.82607
25.03966 1.1704579 2.60097
25.46106 1.1722670 2.14301
26.00782 1.1773016 2.37475
26.34710 1.1739060 2.55751
26.57816 1.1703840 2.70842
27.79577 1.1981591 1.11394
28.92990 1.1705099 2.77012
29.12778 1.1694183 2.63043
29.40931 1.1672853 2.46389
29.84172 1.1733084 2.25768
30.15828 1.1709340 2.73480
30.59069 1.1747592 1.98677
31.21680 1.1674480 2.41330
31.49284 1.1690265 2.69810
32.20423 1.1655093 1.59106
32.94758 1.1724738 2.65992
33.25435 1.1743005 2.35984
33.52736 1.1709392 2.76118
33.99218 1.1742754 1.89763
34.53894 1.1711024 2.62014
34.96034 1.1759804 2.12385
35.56730 1.1753464 2.30320
35.98340 1.1681163 2.45179
36.28642 1.1697581 2.57864
36.51694 1.1727442 2.68931
38.21321 1.1702210 0.84510
39.85342 1.1702752 2.71850
40.06799 1.1711275 2.61172
40.34714 1.1725098 2.48996
40.72519 1.1723551 2.34830
41.26600 1.1735520 2.17898
41.63424 1.1714835 2.68215
42.10345 1.1642887 1.96848
42.72176 1.1698379 2.44248
42.97395 1.1710670 2.74741
43.57358 1.1788671 1.69020
44.34586 1.1720841 2.52763
44.82182 1.1760264 2.11059
45.37778 1.1718591 2.39270
45.69232 1.1712302 2.60531
45.89465 1.1700684 2.77597
46.82645 1.1680358 1.27875
47.79461 1.1710740 2.74273
48.01490 1.1689102 2.56467
48.36495 1.1567549 2.34044
49.00727 1.1704684 2.03743
49.58256 1.1696073 2.43616
49.84826 1.1701710 2.70842
50.56999 1.1784309 1.56820
51.38676 1.1682317 2.60097
51.74438 1.1740217 2.28556
52.07353 1.1692600 2.67302
52.65901 1.1777921 1.78533
53.39139 1.1701403 2.47857
53.99102 1.1874618 1.95904
54.49096 1.1706930 2.63649
54.91415 1.1798836 2.10380
55.27700 1.1700663 2.77012
55.59154 1.1748488 2.22789
56.10976 1.1747547 2.33646
56.51899 1.1683275 2.43297
56.85034 1.1446839 2.51983
57.12411 1.1702627 2.59879
57.35409 1.1715760 2.67117
57.55002 1.1712863 2.73799
62.44998 1.1712863 2.73799
62.64591 1.1715760 2.67117
62.87589 1.1702627 2.59879
63.14966 1.1446839 2.51983
63.48101 1.1683275 2.43297
63.89024 1.1747547 2.33646
64.40846 1.1748488 2.22789
64.72300 1.1700663 2.77012
65.08585 1.1798836 2.10380
65.50904 1.1706930 2.63649
66.00898 1.1874618 1.95904
66.60861 1.1701403 2.47857
67.34099 1.1777921 1.78533
67.92647 1.1692600 2.67302
68.25562 1.1740217 2.28556
68.61324 1.1682317 2.60097
69.43001 1.1784309 1.56820
70.15174 1.1701710 2.70842
70.41744 1.1696073 2.43616
70.99273 1.1704684 2.03743
71.63505 1.1567549 2.34044
71.98510 1.1689102 2.56467
72.20539 1.1710740 2.74273
73.17355 1.1680358 1.27875
74.10535 1.1700684 2.77597
74.30768 1.1712302 2.60531
74.62222 1.1718591 2.39270
75.17818 1.1760264 2.11059
75.65414 1.1720841 2.52763
76.42642 1.1788671 1.69020
77.02605 1.1710670 2.74741
77.27824 1.1698379 2.44248
77.89655 1.1642887 1.96848
78.36576 1.1714835 2.68215
78.73400 1.1735520 2.17898
79.27481 1.1723551 2.34830
79.65286 1.1725098 2.48996
79.93201 1.1711275 2.61172
80.14658 1.1702752 2.71850
81.78679 1.1702210 0.84510
83.48306 1.1727442 2.68931
83.71358 1.1697581 2.57864
84.01660 1.1681163 2.45179
84.43270 1.1753464 2.30320
85.03966 1.1759804 2.12385
85.46106 1.1711024 2.62014
86.00782 1.1742754 1.89763
86.47264 1.1709392 2.76118
86.74565 1.1743005 2.35984
87.05242 1.1724738 2.65992
87.79577 1.1655093 1.59106
88.50716 1.1690265 2.69810
88.78320 1.1674480 2.41330
89.40931 1.1747592 1.98677
89.84172 1.1709340 2.73480
90.15828 1.1733084 2.25768
