angle,start,end,slope
pi/4,8,12,1.1713697778456413
pi/4,12,20,1.1696288290913321
pi/4,14,20,1.1700641841516541
pi/4,16,20,1.1699998400319482
pi/4,18,20,1.1701385405584097
pi/6,8,12,1.1525655719247672
pi/6,12,20,1.1719656323822005
pi/6,14,20,1.171030694207103
pi/6,16,20,1.1703920471304745
pi/6,18,20,1.1698932877819292
pi/12,8,12,1.1783275071030674
pi/12,12,20,1.1698414152011283
pi/12,14,20,1.1702577437197976
pi/12,16,20,1.1701301950542027
pi/12,18,20,1.1703072211873873
atan(sqrt(3)/2),8,12,1.1775418385139016
atan(sqrt(3)/2),12,20,1.1651022643474345
atan(sqrt(3)/2),14,20,1.166506928299378
atan(sqrt(3)/2),16,20,1.1691571564697538
atan(sqrt(3)/2),18,20,1.1688774508948734
