angle,depth,count,normalised_count
pi/4,0,1,1.0
pi/4,1,6,2.6666666666666665
pi/4,2,6,1.1851851851851851
pi/4,3,24,2.106995884773662
pi/4,4,66,2.575217192501143
pi/4,5,150,2.6012294873748916
pi/4,6,324,2.4971803078798955
pi/4,7,708,2.4252450726734787
pi/4,8,1596,2.4298123891945207
pi/4,9,3537,2.393273857026182
pi/4,10,8025,2.4133474950692815
pi/4,11,18141,2.4246749412558994
pi/4,12,40842,2.426145170259472
pi/4,13,91665,2.4200860446689902
pi/4,14,205926,2.416328242741414
pi/4,15,463902,2.419293024277821
pi/4,16,1043001,2.417488601390227
pi/4,17,2349114,2.419921539807281
pi/4,18,5281500,2.4180871998723594
pi/4,19,11885631,2.41854626177379
pi/4,20,26745510,2.418803127527442
pi/6,0,1,1.0
pi/6,1,6,2.6666666666666665
pi/6,2,21,4.148148148148148
pi/6,3,36,3.160493827160493
pi/6,4,84,3.2775491540923634
pi/6,5,204,3.5376721028298523
pi/6,6,420,3.2370855842887534
pi/6,7,1011,3.4631677520803485
pi/6,8,2358,3.589910785539273
pi/6,9,5259,3.5584470495054257
pi/6,10,11538,3.4698072770229746
pi/6,11,25668,3.430712551246151
pi/6,12,57954,3.442652592850924
pi/6,13,130665,3.449741373770508
pi/6,14,295530,3.467738340847538
pi/6,15,665061,3.4683563296110638
pi/6,16,1499607,3.475819130628824
pi/6,17,3380295,3.4821846370175535
pi/6,18,7604793,3.481785971973667
pi/6,19,17110944,3.481818478684107
pi/6,20,38497572,3.481632900468635
pi/12,0,1,1.0
pi/12,1,6,2.6666666666666665
pi/12,2,21,4.148148148148148
pi/12,3,60,5.2674897119341555
pi/12,4,117,4.565157750342935
pi/12,5,246,4.266016359294822
pi/12,6,555,4.27757737923871
pi/12,7,1308,4.480537507142528
pi/12,8,2886,4.393758493242723
pi/12,9,6429,4.350115246486097
pi/12,10,14799,4.450483436701595
pi/12,11,33366,4.459605539382854
pi/12,12,75210,4.4677140750995274
pi/12,13,168066,4.4371808343788635
pi/12,14,378681,4.443429170136659
pi/12,15,852774,4.447297466890624
pi/12,16,1919394,4.4488098444553685
pi/12,17,4318275,4.448437448038404
pi/12,18,9716388,4.448560721725531
pi/12,19,21871644,4.450548972540637
pi/12,20,49215285,4.450918501092498
atan(sqrt(3)/2),0,1,1.0
atan(sqrt(3)/2),1,6,2.6666666666666665
atan(sqrt(3)/2),2,12,2.3703703703703702
atan(sqrt(3)/2),3,36,3.160493827160493
atan(sqrt(3)/2),4,63,2.4581618655692727
atan(sqrt(3)/2),5,123,2.133008179647411
atan(sqrt(3)/2),6,336,2.589668467431003
atan(sqrt(3)/2),7,693,2.3738627618117523
atan(sqrt(3)/2),8,1683,2.5622645683047485
atan(sqrt(3)/2),9,3666,2.4805603505394354
atan(sqrt(3)/2),10,8691,2.613632782510545
atan(sqrt(3)/2),11,18684,2.4972507911595407
atan(sqrt(3)/2),12,44139,2.6219974944929936
atan(sqrt(3)/2),13,96588,2.5500602289040355
atan(sqrt(3)/2),14,219900,2.5802986537826063
atan(sqrt(3)/2),15,487497,2.542343192002545
atan(sqrt(3)/2),16,1094130,2.5359964213256645
atan(sqrt(3)/2),17,2461557,2.5357538228299656
atan(sqrt(3)/2),18,5536620,2.534891593781559
atan(sqrt(3)/2),19,12442377,2.5318356577728336
atan(sqrt(3)/2),20,27988464,2.5312130618518482
